,,,Volumen Facturado (m3) - 2210 - Acumulado,,,,,,,,,,,,,,,,,
26,"26,049",MI PERÚ,0,0,813.38,684.29,,,,,,,,,,,0,0,0.81337763,0.68428616
27,"27,001",ILO,"2,977.43","3,159.60","3,353.63","1,832.43",,,,,,,,,,,2.977427,3.159603,3.35363,1.832425
28,"28,001",TRUJILLO,"15,081.00","15,392.19","14,409.93","7,162.56",,,,,,,,,,,15.080996,15.392194,14.409927,7.162563
28,,PACASMAYO,0,0,0,0,,,,,,,,,,,0,0,0,0
28,"28,002",CHEPEN,924.91,893.78,861.44,429.33,,,,,,,,,,,0.924912,0.893784,0.861443,0.429333375
28,,VIRU,0,0,0,0,,,,,,,,,,,0,0,0,0
28,,CHAO,0,0,0,0,,,,,,,,,,,0,0,0,0
28,"28,003",HUANCHACO,853.36,"1,053.65",922.95,485.88,,,,,,,,,,,0.853364,1.053649,0.922954,0.485875313
28,"28,004",MOCHE,883.85,876.92,798.86,395.68,,,,,,,,,,,0.883851,0.876917,0.798864,0.395676
28,"28,005",SALAVERRY,356.12,385.72,496.75,251.92,,,,,,,,,,,0.356121,0.385719,0.496748,0.251919563
28,,GUADALUPE,0,0,0,0,,,,,,,,,,,0,0,0,0
28,,SAN PEDRO DE LLOC,0,0,0,0,,,,,,,,,,,0,0,0,0
28,"28,006",CHOCOPE,149.66,157.53,163.83,93.96,,,,,,,,,,,0.149658,0.157532,0.163827,0.093964875
28,"28,007",PUERTO MALABRIGO,195.35,217.83,165.4,84.86,,,,,,,,,,,0.195345,0.217833,0.165404,0.0848565
28,"28,008",PAIJAN,320.29,341.01,323.9,161.2,,,,,,,,,,,0.32029,0.341008,0.323901,0.161199938
28,"28,009",LA ESPERANZA,"4,024.81","4,162.24","3,963.43","2,029.75",,,,,,,,,,,4.024812,4.162237,3.963432,2.02975275
28,"28,010",EL PORVENIR,"2,873.77","2,962.31","2,838.87","1,442.21",,,,,,,,,,,2.873772,2.962311,2.838867,1.442206875
28,"28,011",FLORENCIA DE MORA,859.53,830.06,782.05,402.76,,,,,,,,,,,0.859532,0.830062,0.782046,0.402756563
28,,CHICAMA,0,0,0,0,,,,,,,,,,,0,0,0,0
28,"28,012",PACANGUILLA,92.99,94.67,94.91,49.6,,,,,,,,,,,0.092987,0.094665,0.094907,0.0496035
28,"28,013",VICTOR LARCO,"2,883.42","2,905.30","3,056.90","1,553.26",,,,,,,,,,,2.883417,2.905301,3.056898,1.553263875
29,"29,001",CHICLAYO,"20,960.07","19,899.67","19,254.86","9,627.43",,,,,,,,,,,20.960072,19.899665,19.25485538,9.627427688
29,"29,002",LAMBAYEQUE,"1,922.43","1,913.20","2,130.85","1,065.43",,,,,,,,,,,1.922432,1.913195,2.130850453,1.065425227
29,"29,003",FERREÑAFE,"1,580.07","1,557.90","1,573.81",786.9,,,,,,,,,,,1.580066,1.5578965,1.573807547,0.786903773
29,"29,004",PIMENTEL,985.25,891.22,"1,046.99",523.5,,,,,,,,,,,0.985251,0.8912205,1.046992758,0.523496379
29,,CHONGOYAPE,0,0,0,0,,,,,,,,,,,0,0,0,0
29,"29,005",ETEN,345.16,297.95,284.32,142.16,,,,,,,,,,,0.345158,0.2979525,0.284323734,0.142161867
29,"29,006",MONSEFU,892.3,882.9,873.61,437.85,,,,,,,,,,,0.892298,0.882904,0.873607,0.437851113
29,"29,007",ETEN PUERTO,138.47,134.42,134.94,67.47,,,,,,,,,,,0.13847,0.1344235,0.134941219,0.067470609
29,"29,008",NUEVA ARICA,104.4,86.17,74.62,37.31,,,,,,,,,,,0.104396,0.0861655,0.074615297,0.037307648
29,"29,009",OYOTUN,38.07,22.77,20.84,10.42,,,,,,,,,,,0.038074,0.0227705,0.020836617,0.010418309
29,"29,010",PICSI,232.12,233.45,232.76,116.38,,,,,,,,,,,0.232122,0.2334475,0.232760836,0.116380418
29,"29,011",REQUE,245.49,198.2,216.1,108.05,,,,,,,,,,,0.245492,0.1982025,0.216096023,0.108048012
29,"29,012",ZAÑA,118.45,107.19,113.04,56.52,,,,,,,,,,,0.118449,0.107193,0.113037539,0.05651877
29,"29,013",SANTA ROSA,308.2,255.61,229.5,114.75,,,,,,,,,,,0.308202,0.255606,0.229498453,0.114749227
29,"29,014",ILLIMO,127.37,148.64,153.54,76.77,,,,,,,,,,,0.127373,0.148641,0.15353625,0.076768125
29,,PALLANCA,0,0,0,0,,,,,,,,,,,0,0,0,0
29,"29,015",MOCHUMI,191.81,182.13,139.15,69.58,,,,,,,,,,,0.191814,0.182131,0.139151344,0.069575672
29,"29,016",MOTUPE,551.17,432.63,507.7,259.22,,,,,,,,,,,0.551167,0.4326255,0.507696815,0.259220273
29,"29,017",OLMOS,411.25,388.99,376.45,188.23,,,,,,,,,,,0.411245,0.3889855,0.376451719,0.188225859
29,"29,018",PACORA,134.48,129.05,117.11,58.56,,,,,,,,,,,0.134477,0.1290455,0.117113789,0.058556895
29,"29,019",SALAS,26.46,25.1,23.52,11.76,,,,,,,,,,,0.026463,0.025098,0.023524148,0.011762074
29,"29,020",SAN JOSE,312.16,254.44,176.57,88.28,,,,,,,,,,,0.312155,0.254443,0.176567297,0.088283648
29,"29,021",TUCUME,240.79,244.6,227.4,113.7,,,,,,,,,,,0.240794,0.2445975,0.22739625,0.113698125
29,,MORROPE,0,0,0,0,,,,,,,,,,,0,0,0,0
