,,,Conexiones Activas de agua potable (Conex) - 2120,,,,,,,,,,,
28,,SAN PEDRO DE LLOC,,,,,,,,,,,,
28,"28,006",CHOCOPE,"1,178","1,183","1,185","1,168",,,,,,,,
28,"28,007",PUERTO MALABRIGO,"1,477","1,436","1,404","1,386",,,,,,,,
28,"28,008",PAIJAN,"3,299","3,292","3,271","3,268",,,,,,,,
28,"28,009",LA ESPERANZA,"30,549","31,027","31,220","31,332",,,,,,,,
28,"28,010",EL PORVENIR,"27,961","28,398","29,000","29,422",,,,,,,,
28,"28,011",FLORENCIA DE MORA,"5,958","6,055","6,053","6,078",,,,,,,,
28,,CHICAMA,,,,,,,,,,,,
28,"28,012",PACANGUILLA,"1,225","1,244","1,272","1,255",,,,,,,,
28,"28,013",VICTOR LARCO,"10,994","11,222","11,457","11,523",,,,,,,,
29,"29,001",CHICLAYO,"87,167","89,948","90,704","90,704",,,,,,,,
29,"29,002",LAMBAYEQUE,"8,079","8,200","8,826","8,826",,,,,,,,
29,"29,003",FERREÑAFE,"7,938","7,943","8,399","8,399",,,,,,,,
29,"29,004",PIMENTEL,"4,820","5,648","5,893","5,893",,,,,,,,
29,,CHONGOYAPE,,,,,,,,,,,,
29,"29,005",ETEN,"2,169","2,272","2,258","2,258",,,,,,,,
29,"29,006",MONSEFU,"3,990","4,024","4,183","4,183",,,,,,,,
29,"29,007",ETEN PUERTO,647,701,688,688,,,,,,,,
29,"29,008",NUEVA ARICA,522,509,521,521,,,,,,,,
29,"29,009",OYOTUN,905,937,946,946,,,,,,,,
29,"29,010",PICSI,917,920,900,900,,,,,,,,
29,"29,011",REQUE,"1,216","1,260","1,377","1,377",,,,,,,,
29,"29,012",ZAÑA,978,"1,001",967,967,,,,,,,,
29,"29,013",SANTA ROSA,"1,891","1,892","1,958","1,958",,,,,,,,
29,"29,014",ILLIMO,"1,053","1,098","1,127","1,127",,,,,,,,
29,,PALLANCA,,,,,,,,,,,,
29,"29,015",MOCHUMI,"1,017","1,050","1,008","1,008",,,,,,,,
29,"29,016",MOTUPE,"2,596","2,681","3,072","3,072",,,,,,,,
29,"29,017",OLMOS,"2,019","2,067","2,081","2,081",,,,,,,,
29,"29,018",PACORA,937,"1,030","1,008","1,008",,,,,,,,
29,"29,019",SALAS,144,149,149,149,,,,,,,,
29,"29,020",SAN JOSE,"1,897","1,988","2,036","2,036",,,,,,,,
29,"29,021",TUCUME,"1,352","1,379","1,529","1,529",,,,,,,,
29,,MORROPE,,,,,,,,,,,,
29,,Desconocido,,,,,,,,,,,,
29,"29,022",POSOPE ALTO,"1,713","1,703","1,751","1,751",,,,,,,,
29,"29,023",BATAN GRANDE,690,714,716,716,,,,,,,,
29,"29,024",JAYANCA,"1,757","1,807","1,778","1,778",,,,,,,,
29,"29,025",MOCUPE,"1,145","1,133","1,144","1,144",,,,,,,,
29,"29,026",PAMPA GRANDE,731,750,805,805,,,,,,,,
30,"30,001",AREQUIPA METROPOLITANA,"200,324","218,948","227,926","230,655",,,,,,,,
30,"30,002",LA JOYA,"1,811","1,899","1,928","1,945",,,,,,,,
30,"30,003",CAMANA,"4,932","5,285","5,522","5,455",,,,,,,,
30,"30,004",CARAVELI,"1,128","1,090","1,111","1,080",,,,,,,,
30,"30,005",ATICO,"1,028","1,090","1,112","1,129",,,,,,,,
30,"30,006",CHALA,859,896,878,852,,,,,,,,
30,"30,007",YAUCA,517,520,526,524,,,,,,,,
30,"30,008",APLAO,"1,887","2,091","2,061","2,093",,,,,,,,
30,"30,009",CHIVAY,"1,818","1,857","1,870","1,929",,,,,,,,
30,,NO ACTIVO (CAYLLOMA),,,,,,,,,,,,
30,"30,010",EL PEDREGAL,"2,661","2,815","2,815","2,987",,,,,,,,
30,"30,011",CHUQUIBAMBA,"1,070","1,096","1,129","1,128",,,,,,,,
30,"30,012",MOLLENDO,"7,138","7,272","7,729","7,847",,,,,,,,
30,"30,013",COCACHACRA,"1,702","1,743","1,803","1,808",,,,,,,,
30,"30,014",LA CURVA,360,342,400,399,,,,,,,,
30,"30,015",MATARANI,"1,028",994,"1,114","1,058",,,,,,,,
30,"30,016",MEJIA,754,786,870,901,,,,,,,,
30,"30,017",PUNTA DE BOMBON,"1,907","1,945","1,922","1,949",,,,,,,,
30,"30,018",EL ARENAL,531,490,531,559,,,,,,,,
30,"30,019",COTAHUASI,712,784,818,849,,,,,,,,
31,"31,001",CUSCO,"67,333","70,309","72,463","75,140",,,,,,,,
31,,ACOMAYO,,,,,,,,,,,,
31,,URUBAMBA,,,,,,,,,,,,
31,"31,002",PAUCARTAMBO,470,489,539,547,,,,,,,,
31,,HUAROCONDO,,,,,,,,,,,,
32,"32,001",PIURA,"49,196","53,098","55,830","55,570",,,,,,,,
32,"32,002",SULLANA,"28,580","29,181","28,533","28,505",,,,,,,,
32,"32,003",TALARA,"14,768","15,696","15,197","15,139",,,,,,,,
32,"32,004",CHULUCANAS,"7,071","7,412","7,734","7,489",,,,,,,,
32,"32,005",QUERECOTILLO,"2,224","2,321","2,321","2,382",,,,,,,,
32,"32,006",MARCAVELICA,"3,961","4,292","4,402","4,425",,,,,,,,
32,"32,007",CATACAOS,"7,799","8,106","7,974","8,211",,,,,,,,
32,"32,008",TAMARINDO,903,980,"1,004","1,007",,,,,,,,
32,"32,009",LAS LOMAS,"1,575","1,621","1,898","1,948",,,,,,,,
32,"32,010",LANCONES,291,309,316,327,,,,,,,,
32,"32,011",SALITRAL,"1,283","1,364","1,314","1,367",,,,,,,,
32,"32,012",MORROPON,"2,193","2,246","2,276","2,268",,,,,,,,
32,"32,013",YACILA,326,332,331,334,,,,,,,,
32,"32,014",COLAN,887,891,945,927,,,,,,,,
32,"32,015",PUEBLO NUEVO,"1,833","1,879","1,945","1,969",,,,,,,,
32,"32,016",EL ARENAL,290,298,308,316,,,,,,,,
32,"32,017",VIVIATE,838,892,911,896,,,,,,,,
32,"32,018",AMOTAPE,315,318,324,323,,,,,,,,
32,"32,019",EL TAMBO,165,173,178,186,,,,,,,,
32,"32,020",MIRAMAR,383,367,381,390,,,,,,,,
32,"32,021",LA HUACA,847,900,958,919,,,,,,,,
32,"32,022",VICHAYAL,411,402,425,406,,,,,,,,
32,"32,023",NEGRITOS,"2,343","2,428","2,421","2,435",,,,,,,,
32,,EL ALTO,,,,"2,045",,,,,,,,
32,"32,024",MANCORA,"2,223","2,295","2,210","2,349",,,,,,,,
32,"32,025",LOS ORGANOS,"2,306","2,330","2,064","2,137",,,,,,,,
32,"32,026",PAITA,"9,281","9,136","9,064","15,260",,,,,,,,
32,"32,027",CASTILLA,"17,290","18,092","19,687","20,440",,,,,,,,
32,,LOBITOS,,,,,,,,,,,,
33,"33,001",HUARAZ,"19,669","20,539","21,517","22,129",,,,,,,,
33,"33,002",AIJA,372,387,396,403,,,,,,,,
33,"33,003",CARAZ,"3,545","3,677","3,725","3,761",,,,,,,,
33,,YUNGAY,,,,,,,,,,,,
33,,RECUAY,,,,,,,,,,,,
33,"33,004",CHIQUIAN,"1,156","1,166","1,179","1,177",,,,,,,,
34,"34,001",QUILLABAMBA,"5,497","5,788","5,953","6,308",,,,,,,,
35,"35,001",BAGUA,"4,757","4,894","5,154","5,073",,,,,,,,
36,"36,001",BARRANCA,"11,626","11,999","12,427","12,427",,,,,,,,
36,"36,002",SUPE,"2,705",,"2,862","2,798",,,,,,,,
37,"37,001",ICA,"33,829","34,523","35,371","35,666",,,,,,,,
37,"37,002",PALPA,"1,360","1,399","1,414","1,420",,,,,,,,
37,"37,003",PARCONA,"6,131","6,104","6,239","6,267",,,,,,,,
