,,,Volumen Producido (m3) - 3130 - Acumulado,,,,,,,,,,,,,,,,,
29,"29,020",SAN JOSE,492,682,711,356,,,,,,,,,,,0.49174808,0.68175342,0.7106959,0.35568912
29,"29,021",TUCUME,383,401,387,193,,,,,,,,,,,0.38276163,0.4005013,0.387251345,0.193344334
29,,MORROPE,0,0,0,0,,,,,,,,,,,0,0,0,0
29,,Desconocido,0,0,0,0,,,,,,,,,,,0,0,0,0
29,"29,022",POSOPE ALTO,688,577,505,250,,,,,,,,,,,0.6876097,0.5771227,0.50533206,0.250132034
29,"29,023",BATAN GRANDE,199,161,134,66,,,,,,,,,,,0.19869609,0.16100279,0.13426342,0.065871777
29,"29,024",JAYANCA,590,650,550,272,,,,,,,,,,,0.589717,0.64968,0.550048,0.271614587
29,"29,025",MOCUPE,320,274,276,147,,,,,,,,,,,0.319972,0.274048667,0.275664,0.1466892
29,"29,026",PAMPA GRANDE,456,0,365,184,,,,,,,,,,,0.45608508,0,0.365007925,0.18407841
30,"30,001",AREQUIPA METROPOLITANA,"58,236","57,384","63,377","34,175",,,,,,,,,,,58.23646033,57.38400187,63.37722356,34.17500685
30,"30,002",LA JOYA,675,618,577,286,,,,,,,,,,,0.675109,0.617727,0.577182,0.285749
30,"30,003",CAMANA,"1,019","1,016","1,101",596,,,,,,,,,,,1.0185075,1.0155941,1.1006281,0.5963778
30,"30,004",CARAVELI,463,482,402,212,,,,,,,,,,,0.462718,0.48178,0.40188,0.21169
30,"30,005",ATICO,180,176,180,88,,,,,,,,,,,0.180291,0.176259,0.180363,0.088219
30,"30,006",CHALA,63,65,61,36,,,,,,,,,,,0.063009,0.0654591,0.060819,0.0357
30,"30,007",YAUCA,116,111,100,53,,,,,,,,,,,0.115795,0.110643,0.09956,0.053198
30,"30,008",APLAO,571,556,487,250,,,,,,,,,,,0.57121214,0.55592478,0.486562,0.2502458
30,"30,009",CHIVAY,442,273,282,141,,,,,,,,,,,0.442286,0.27258,0.281651,0.140631
30,,NO ACTIVO (CAYLLOMA),0,0,0,0,,,,,,,,,,,0,0,0,0
30,"30,010",EL PEDREGAL,702,852,"1,033",548,,,,,,,,,,,0.701687,0.851947,1.033295,0.547874
30,"30,011",CHUQUIBAMBA,166,171,175,90,,,,,,,,,,,0.165522,0.17089,0.174626,0.089754
30,"30,012",MOLLENDO,"2,558","2,517","3,749","1,695",,,,,,,,,,,2.557562,2.51730337,3.749497,1.694545
30,"30,013",COCACHACRA,368,339,441,251,,,,,,,,,,,0.367858,0.338574148,0.440839,0.250899333
30,"30,014",LA CURVA,97,86,111,58,,,,,,,,,,,0.09658888,0.086253784,0.110692,0.057907
30,"30,015",MATARANI,531,695,587,237,,,,,,,,,,,0.530988,0.694659984,0.586882,0.236746
30,"30,016",MEJIA,70,79,473,242,,,,,,,,,,,0.069726,0.078549,0.472546,0.242301
30,"30,017",PUNTA DE BOMBON,327,283,311,216,,,,,,,,,,,0.3265124,0.282619704,0.311278,0.216011
30,"30,018",EL ARENAL,110,108,133,59,,,,,,,,,,,0.10962561,0.108178984,0.132721,0.05895
30,"30,019",COTAHUASI,194,196,179,80,,,,,,,,,,,0.194273,0.19616,0.1791,0.079515
31,"31,001",CUSCO,"20,197","20,943","20,281","10,516",,,,,,,,,,,20.19672409,20.9434053,20.28071127,10.51581672
31,,ACOMAYO,0,0,0,0,,,,,,,,,,,0,0,0,0
31,,URUBAMBA,0,0,0,0,,,,,,,,,,,0,0,0,0
31,"31,002",PAUCARTAMBO,256,273,369,177,,,,,,,,,,,0.2555971,0.27321015,0.36948131,0.17671232
31,,HUAROCONDO,0,0,0,0,,,,,,,,,,,0,0,0,0
32,"32,001",PIURA,"27,608","25,974","26,568","13,494",,,,,,,,,,,27.60799791,25.97438736,26.56761738,13.49355804
32,"32,002",SULLANA,"12,094","12,437","12,781","5,894",,,,,,,,,,,12.093605,12.436653,12.780827,5.893892
32,"32,003",TALARA,"8,196","8,026","8,750","4,136",,,,,,,,,,,8.196243,8.026007,8.750462515,4.13570546
32,"32,004",CHULUCANAS,"2,365","2,171","2,229","1,038",,,,,,,,,,,2.365319,2.171296,2.229321,1.038379
32,"32,005",QUERECOTILLO,478,460,407,164,,,,,,,,,,,0.478189,0.45971725,0.4068233,0.163784
32,"32,006",MARCAVELICA,"1,945","1,837","1,231",537,,,,,,,,,,,1.944632,1.837083,1.23054,0.536553
32,"32,007",CATACAOS,"3,202","3,343","3,214","1,465",,,,,,,,,,,3.20165716,3.34344084,3.2135588,1.465218
32,"32,008",TAMARINDO,323,346,352,178,,,,,,,,,,,0.323457,0.34622,0.351505,0.17782
