,,,Conexiones Totales de Agua Potable (Conex) - 2110- Excepto SEDAPAL (2090),,,,,,,,Conexiones Totales de Agua Potable (Conex) - 2110- Excepto SEDAPAL (2090),,,
28,"28,011",FLORENCIA DE MORA,"6,419","6,472","6,550","6,580",,,,,,,,
28,,CHICAMA,0,,,,,,,,,,,
28,"28,012",PACANGUILLA,"1,364","1,401","1,450","1,458",,,,,,,,
28,"28,013",VICTOR LARCO,"11,599","11,859","12,145","12,229",,,,,,,,
29,"29,001",CHICLAYO,"93,098","96,499","98,489","98,489",,,,,,,,
29,"29,002",LAMBAYEQUE,"9,739","9,976","10,809","10,809",,,,,,,,
29,"29,003",FERREÑAFE,"9,240","9,503","10,037","10,037",,,,,,,,
29,"29,004",PIMENTEL,"5,513","6,397","6,823","6,823",,,,,,,,
29,,CHONGOYAPE,0,,,,,,,,,,,
29,"29,005",ETEN,"2,529","2,646","2,745","2,745",,,,,,,,
29,"29,006",MONSEFU,"4,778","4,898","5,102","5,102",,,,,,,,
29,"29,007",ETEN PUERTO,757,810,831,831,,,,,,,,
29,"29,008",NUEVA ARICA,660,666,678,678,,,,,,,,
29,"29,009",OYOTUN,"1,096","1,103","1,110","1,110",,,,,,,,
29,"29,010",PICSI,"1,060","1,071","1,086","1,086",,,,,,,,
29,"29,011",REQUE,"1,448","1,535","1,633","1,633",,,,,,,,
29,"29,012",ZAÑA,"1,191","1,217","1,235","1,235",,,,,,,,
29,"29,013",SANTA ROSA,"2,435","2,506","2,565","2,565",,,,,,,,
29,"29,014",ILLIMO,"1,398","1,442","1,469","1,469",,,,,,,,
29,,PALLANCA,0,,,,,,,,,,,
29,"29,015",MOCHUMI,"1,424","1,482","1,503","1,503",,,,,,,,
29,"29,016",MOTUPE,"3,106","3,182","3,660","3,660",,,,,,,,
29,"29,017",OLMOS,"2,397","2,471","2,509","2,509",,,,,,,,
29,"29,018",PACORA,"1,127","1,187","1,226","1,226",,,,,,,,
29,"29,019",SALAS,174,178,179,179,,,,,,,,
29,"29,020",SAN JOSE,"2,752","2,779","2,835","2,835",,,,,,,,
29,"29,021",TUCUME,"1,588","1,660","1,775","1,775",,,,,,,,
29,,MORROPE,0,,,,,,,,,,,
29,,Desconocido,0,,,,,,,,,,,
29,"29,022",POSOPE ALTO,"2,074","2,089","2,128","2,128",,,,,,,,
29,"29,023",BATAN GRANDE,877,899,904,904,,,,,,,,
29,"29,024",JAYANCA,"2,024","2,101","2,139","2,139",,,,,,,,
29,"29,025",MOCUPE,"1,352","1,379","1,425","1,425",,,,,,,,
29,"29,026",PAMPA GRANDE,911,924,964,964,,,,,,,,
30,"30,001",AREQUIPA METROPOLITANA,"227,157","242,701","255,641","259,046",,,,,,,,
30,"30,002",LA JOYA,"1,945","2,023","2,076","2,105",,,,,,,,
30,"30,003",CAMANA,"5,827","6,120","6,387","6,515",,,,,,,,
30,"30,004",CARAVELI,"1,224","1,244","1,281","1,300",,,,,,,,
30,"30,005",ATICO,"1,126","1,195","1,231","1,286",,,,,,,,
30,"30,006",CHALA,"1,139","1,171","1,176","1,185",,,,,,,,
30,"30,007",YAUCA,577,590,601,609,,,,,,,,
30,"30,008",APLAO,"2,427","2,597","2,666","2,696",,,,,,,,
30,"30,009",CHIVAY,"2,013","2,054","1,870","2,163",,,,,,,,
30,,NO ACTIVO (CAYLLOMA),0,,,,,,,,,,,
30,"30,010",EL PEDREGAL,"2,942","3,116","3,116","3,432",,,,,,,,
30,"30,011",CHUQUIBAMBA,"1,167","1,188","1,225","1,233",,,,,,,,
30,"30,012",MOLLENDO,"9,225","9,487","9,837","9,929",,,,,,,,
30,"30,013",COCACHACRA,"2,045","2,098","2,129","2,147",,,,,,,,
30,"30,014",LA CURVA,473,479,483,490,,,,,,,,
30,"30,015",MATARANI,"1,332","1,355","1,393","1,402",,,,,,,,
30,"30,016",MEJIA,"1,026","1,197","1,235","1,245",,,,,,,,
30,"30,017",PUNTA DE BOMBON,"2,136","2,153","2,179","2,196",,,,,,,,
30,"30,018",EL ARENAL,672,679,701,709,,,,,,,,
30,"30,019",COTAHUASI,811,850,898,916,,,,,,,,
31,"31,001",CUSCO,"73,247","73,708","76,542","80,221",,,,,,,,
31,,ACOMAYO,0,,,,,,,,,,,
31,,URUBAMBA,0,,,,,,,,,,,
31,"31,002",PAUCARTAMBO,603,625,665,668,,,,,,,,
31,,HUAROCONDO,0,,,,,,,,,,,
32,"32,001",PIURA,"54,978","58,556","60,605","60,693",,,,,,,,
32,"32,002",SULLANA,"32,836","33,372","33,522","33,514",,,,,,,,
32,"32,003",TALARA,"18,443","18,603","18,809","18,886",,,,,,,,
32,"32,004",CHULUCANAS,"8,403","8,544","8,758","8,854",,,,,,,,
32,"32,005",QUERECOTILLO,"2,620","2,686","2,716","2,763",,,,,,,,
32,"32,006",MARCAVELICA,"4,582","4,933","5,045","5,084",,,,,,,,
32,"32,007",CATACAOS,"9,156","9,325","9,529","9,599",,,,,,,,
32,"32,008",TAMARINDO,"1,025","1,086","1,123","1,138",,,,,,,,
32,"32,009",LAS LOMAS,"2,047","2,118","2,184","2,218",,,,,,,,
32,"32,010",LANCONES,314,333,338,346,,,,,,,,
32,"32,011",SALITRAL,"1,414","1,471","1,498","1,535",,,,,,,,
32,"32,012",MORROPON,"2,427","2,501","2,549","2,573",,,,,,,,
32,"32,013",YACILA,397,405,429,438,,,,,,,,
32,"32,014",COLAN,992,"1,039","1,103","1,130",,,,,,,,
32,"32,015",PUEBLO NUEVO,"2,337","2,373","2,429","2,479",,,,,,,,
32,"32,016",EL ARENAL,320,322,332,338,,,,,,,,
32,"32,017",VIVIATE,969,"1,001","1,032","1,046",,,,,,,,
32,"32,018",AMOTAPE,368,377,385,385,,,,,,,,
32,"32,019",EL TAMBO,187,196,202,210,,,,,,,,
32,"32,020",MIRAMAR,456,470,481,491,,,,,,,,
32,"32,021",LA HUACA,978,"1,007","1,086","1,099",,,,,,,,
32,"32,022",VICHAYAL,496,511,534,539,,,,,,,,
32,"32,023",NEGRITOS,"3,119","3,184","3,198","3,198",,,,,,,,
32,,EL ALTO,0,,,"2,406",,,,,,,,
32,"32,024",MANCORA,"2,725","2,925","2,970","2,994",,,,,,,,
32,"32,025",LOS ORGANOS,"2,614","2,677","2,684","2,697",,,,,,,,
32,"32,026",PAITA,"10,044","10,140","10,183","16,637",,,,,,,,
32,"32,027",CASTILLA,"21,700","22,397","23,379","24,250",,,,,,,,
32,,LOBITOS,,,,,,,,,,,,
33,"33,001",HUARAZ,"20,845","21,801","22,470","23,055",,,,,,,,
33,"33,002",AIJA,428,424,430,433,,,,,,,,
33,"33,003",CARAZ,"3,753","3,891","3,956","4,019",,,,,,,,
33,,YUNGAY,0,,,,,,,,,,,
33,,RECUAY,0,,,,,,,,,,,
33,"33,004",CHIQUIAN,"1,254","1,269","1,275","1,279",,,,,,,,
34,"34,001",QUILLABAMBA,"6,692","6,979","7,062","7,282",,,,,,,,
35,"35,001",BAGUA,"4,759","4,896","5,156","5,334",,,,,,,,
36,"36,001",BARRANCA,"12,901","13,300","13,908","13,788",,,,,,,,
36,"36,002",SUPE,"3,396","3,503","3,653","3,679",,,,,,,,
37,"37,001",ICA,"40,134","41,203","42,048","42,463",,,,,,,,
37,"37,002",PALPA,"1,697","1,729","1,758","1,769",,,,,,,,
37,"37,003",PARCONA,"7,494","7,674","7,789","7,830",,,,,,,,
37,"37,004",LOS AQUIJES,980,"1,729","1,054","1,059",,,,,,,,
37,,INACTIVO (SANTIAGO),0,,,,,,,,,,,
38,"38,001",SICUANI,"11,111","11,464","12,137","12,137",,,,,,,,
38,"38,002",SANTO TOMAS,"2,447","2,511","2,733","2,733",,,,,,,,
39,"39,001",TARMA,"9,796","9,913","8,975","9,053",,,,,,,,
40,"40,001",AZANGARO,"5,593","5,729","5,979","5,979",,,,,,,,
40,,LAMPA,0,,,,,,,,,,,
40,,CARABAYA,0,,,,,,,,,,,
40,,SANDIA,0,,,,,,,,,,,
40,,PUTINA,0,,,,,,,,,,,
40,"40,002",HUANCANE,"3,060","3,105","3,146","3,151",,,,,,,,
41,"41,001",JULIACA,"48,278","49,937","51,462","51,462",,,,,,,,
42,"42,001",JAUJA,"7,606","7,797","7,962","8,072",,,,,,,,
42,"42,002",CHUPACA,"5,646","5,934","6,281","6,460",,,,,,,,
42,"42,003",CONCEPCION,"4,313","4,442","4,575","4,640",,,,,,,,
43,"43,001",ABANCAY,"12,957","13,686","14,436","14,808",,,,,,,,
44,"44,001",ANDAHUAYLAS,"4,436","4,906","6,664",,,,,,,,,
45,"45,001",JAEN,"13,790","15,026","15,427","15,874",,,,,,,,
45,"45,002",BELLAVISTA,"1,306","1,321","1,415","1,436",,,,,,,,
45,"45,003",SAN IGNACIO,"1,398","1,404","1,414","1,428",0,,,,,,,
46,"46,001",HUANCAYO,"21,268","21,746","22,275","22,782",,,,,,,,
46,"46,002",EL TAMBO,"27,823","28,393","29,004","29,319",,,,,,,,
46,"46,003",CHILCA,"14,626","15,169","15,566","15,803",,,,,,,,
46,"46,004",HUANCÁN ,"1,858","1,908","1,908","1,867",,,,,,,,
46,"46,005",CAJAS,478,520,533,553,,,,,,,,
46,"46,006",ORCOTUNA ,783,798,796,795,,,,,,,,
46,"46,007",VIQUES,647,680,711,723,,,,,,,,
46,"46,008",HUACRAPUQUIO,409,416,414,421,,,,,,,,
47,"47,001",CALCA,"3,150","3,558","3,598","3,598",,,,,,,,
48,"48,001",AYAVIRI,"6,304",,"6,689","6,594",,,,,,,,
50,"50,001",LA OROYA,"3,215","3,276","3,320","3,302",,,,,,,,
51,"51,001",RIOJA,"5,733","5,893","6,181","6,181",,,,,,,,
