"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2016 - Segundo grado de primaria",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Lectura,,,,,,Matemática,,,,,
CODGEO,REGION,PROVINCIA,DISTRITO,Cobertura ie,Cobertura estudiantes,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% En inicio,% En proceso,% Satisfactorio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% En inicio,% En proceso,% Satisfactorio
020611,ÁNCASH,CARHUAZ,YUNGAR,100.0,92.9,8,31,13,15.4,59.6,25.0,18,24,10,34.6,46.2,19.2
020701,ÁNCASH,CARLOS FERMÍN FITZCARRAL,SAN LUIS,100.0,98.2,21,145,55,9.5,65.6,24.9,57,97,67,25.8,43.9,30.3
020702,ÁNCASH,CARLOS FERMÍN FITZCARRAL,SAN NICOLAS,100.0,100.0,15,46,4,23.1,70.8,6.2,34,16,15,52.3,24.6,23.1
020703,ÁNCASH,CARLOS FERMÍN FITZCARRAL,YAUYA,100.0,98.1,28,52,17,28.9,53.6,17.5,70,21,6,72.2,21.6,6.2
020801,ÁNCASH,CASMA,CASMA,100.0,93.1,24,344,320,3.5,50.0,46.5,171,262,255,24.9,38.1,37.1
020802,ÁNCASH,CASMA,BUENA VISTA ALTA,100.0,90.9,7,48,24,8.9,60.8,30.4,33,27,19,41.8,34.2,24.1
020803,ÁNCASH,CASMA,COMANDANTE NOEL,100.0,85.7,2,9,7,11.1,50.0,38.9,10,6,2,55.6,33.3,11.1
020804,ÁNCASH,CASMA,YAUTAN,100.0,89.1,12,89,45,8.2,61.0,30.8,46,52,48,31.5,35.6,32.9
020901,ÁNCASH,CORONGO,CORONGO,100.0,97.2,0,15,20,0.0,42.9,57.1,4,18,13,11.4,51.4,37.1
020903,ÁNCASH,CORONGO,BAMBAS,100.0,100.0,1,6,1,12.5,75.0,12.5,5,2,1,62.5,25.0,12.5
020904,ÁNCASH,CORONGO,CUSCA,100.0,100.0,13,33,10,23.2,58.9,17.9,21,23,12,37.5,41.1,21.4
020905,ÁNCASH,CORONGO,LA PAMPA,100.0,100.0,2,7,2,18.2,63.6,18.2,5,5,1,45.5,45.5,9.1
020906,ÁNCASH,CORONGO,YANAC,100.0,100.0,1,4,0,20.0,80.0,0.0,4,0,1,80.0,0.0,20.0
020907,ÁNCASH,CORONGO,YUPAN,100.0,100.0,2,4,2,25.0,50.0,25.0,6,2,0,75.0,25.0,0.0
021001,ÁNCASH,HUARI,HUARI,100.0,99.1,15,119,97,6.5,51.5,42.0,54,96,81,23.4,41.6,35.1
021002,ÁNCASH,HUARI,ANRA,100.0,100.0,17,26,1,38.6,59.1,2.3,34,7,3,77.3,15.9,6.8
021003,ÁNCASH,HUARI,CAJAY,100.0,96.8,8,17,5,26.7,56.7,16.7,18,7,5,60.0,23.3,16.7
021004,ÁNCASH,HUARI,CHAVIN DE HUANTAR,100.0,99.2,14,79,28,11.6,65.3,23.1,51,47,23,42.1,38.8,19.0
021005,ÁNCASH,HUARI,HUACACHI,100.0,92.9,9,17,13,23.1,43.6,33.3,15,9,15,38.5,23.1,38.5
021006,ÁNCASH,HUARI,HUACCHIS,100.0,96.2,1,19,5,4.0,76.0,20.0,5,14,6,20.0,56.0,24.0
021007,ÁNCASH,HUARI,HUACHIS,100.0,96.5,19,59,5,22.9,71.1,6.0,54,22,7,65.1,26.5,8.4
021008,ÁNCASH,HUARI,HUANTAR,100.0,100.0,11,49,4,17.2,76.6,6.3,34,26,4,53.1,40.6,6.3
021009,ÁNCASH,HUARI,MASIN,100.0,80.8,4,13,4,19.0,61.9,19.0,13,5,3,61.9,23.8,14.3
021010,ÁNCASH,HUARI,PAUCAS,100.0,93.0,15,22,3,37.5,55.0,7.5,35,5,0,87.5,12.5,0.0
021011,ÁNCASH,HUARI,PONTO,100.0,100.0,6,23,3,18.8,71.9,9.4,20,11,1,62.5,34.4,3.1
021012,ÁNCASH,HUARI,RAHUAPAMPA,100.0,100.0,0,11,10,0.0,52.4,47.6,3,15,3,14.3,71.4,14.3
021013,ÁNCASH,HUARI,RAPAYAN,100.0,93.3,5,17,6,17.9,60.7,21.4,13,12,3,46.4,42.9,10.7
021014,ÁNCASH,HUARI,SAN MARCOS,100.0,98.3,24,133,81,10.1,55.9,34.0,102,82,54,42.9,34.5,22.7
021015,ÁNCASH,HUARI,SAN PEDRO DE CHANA,100.0,98.8,18,61,2,22.2,75.3,2.5,55,17,9,67.9,21.0,11.1
021016,ÁNCASH,HUARI,UCO,100.0,100.0,0,4,1,0.0,80.0,20.0,0,3,2,0.0,60.0,40.0
021101,ÁNCASH,HUARMEY,HUARMEY,100.0,98.2,29,222,242,5.9,45.0,49.1,122,218,150,24.9,44.5,30.6
021103,ÁNCASH,HUARMEY,CULEBRAS,100.0,96.6,8,30,18,14.3,53.6,32.1,29,11,16,51.8,19.6,28.6
021104,ÁNCASH,HUARMEY,HUAYAN,100.0,100.0,0,11,7,0.0,61.1,38.9,4,8,6,22.2,44.4,33.3
021105,ÁNCASH,HUARMEY,MALVAS,100.0,100.0,0,2,3,0.0,40.0,60.0,2,3,0,40.0,60.0,0.0
021201,ÁNCASH,HUAYLAS,CARAZ,100.0,94.7,63,343,122,11.9,65.0,23.1,239,227,62,45.3,43.0,11.7
021202,ÁNCASH,HUAYLAS,HUALLANCA,100.0,100.0,6,4,0,60.0,40.0,0.0,10,0,0,100.0,0.0,0.0
