"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2016 - Segundo grado de secundaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Comprensión Lectora,,,,,,,,Matemática,,,,,,,,HGE,,,,,,,
CODGEO,REGION,PROVINCIA,DISTRITO,Cobertura ie,Cobertura estudiantes,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio
020205,Ancash,Aija,Succha,100.0,100.0,6,2,5,1,42.9,14.3,35.7,7.1,3,9,1,1,21.4,64.3,7.1,7.1,6,1,5,2,42.9,7.1,35.7,14.3
020301,Ancash,Antonio Raymondi,Llamellin,100.0,98.5,35,25,5,2,51.5,37.9,7.5,3.0,45,16,4,2,66.7,24.2,6.0,3.0,38,14,13,2,56.1,21.3,19.7,3.0
020302,Ancash,Antonio Raymondi,Aczo,100.0,100.0,31,25,6,1,49.2,39.7,9.5,1.6,32,25,5,1,50.8,39.7,7.9,1.6,27,21,14,1,42.9,33.3,22.2,1.6
020303,Ancash,Antonio Raymondi,Chaccho,100.0,93.3,16,19,7,2,35.7,42.9,16.7,4.8,22,14,3,5,50.0,31.0,7.1,11.9,15,13,15,2,33.3,28.6,33.3,4.8
020304,Ancash,Antonio Raymondi,Chingas,100.0,100.0,11,14,13,1,28.2,35.9,33.3,2.6,19,16,3,1,48.7,41.0,7.7,2.6,8,18,10,3,20.5,46.2,25.6,7.7
020305,Ancash,Antonio Raymondi,Mirgas,100.0,99.1,85,26,4,1,73.5,22.1,3.5,.9,96,15,4,1,82.4,13.2,3.6,.9,86,21,8,1,74.1,17.9,7.2,.9
020306,Ancash,Antonio Raymondi,San Juan de Rontoy,100.0,100.0,17,4,6,0,63.0,14.8,22.2,.0,21,4,2,0,77.8,14.8,7.4,.0,16,5,4,2,59.3,18.5,14.8,7.4
020401,Ancash,Asuncion,Chacas,100.0,93.8,28,50,26,9,24.7,44.1,23.2,8.0,42,37,24,10,37.4,33.1,20.8,8.6,19,47,35,13,16.8,41.2,30.9,11.1
020402,Ancash,Asuncion,Acochaca,100.0,100.0,28,28,13,5,37.8,37.8,17.6,6.8,38,26,5,5,51.4,35.1,6.8,6.8,30,17,22,5,40.5,23.0,29.7,6.8
020501,Ancash,Bolognesi,Chiquian,100.0,96.3,9,48,14,12,10.4,58.4,16.9,14.3,16,36,12,18,19.5,44.1,14.3,22.1,18,24,35,5,22.4,28.8,42.1,6.7
020502,Ancash,Bolognesi,Abelardo Pardo Lezameta,100.0,100.0,4,5,2,0,36.4,45.5,18.2,.0,7,3,1,0,63.6,27.3,9.1,.0,5,2,3,1,45.5,18.2,27.3,9.1
020503,Ancash,Bolognesi,Antonio Raymondi,100.0,100.0,2,12,6,0,10.0,60.0,30.0,.0,9,8,3,0,45.0,40.0,15.0,.0,2,7,7,3,10.5,36.8,36.8,15.8
020504,Ancash,Bolognesi,Aquia,100.0,100.0,15,20,5,1,36.6,48.8,12.2,2.4,23,15,3,0,56.1,36.6,7.3,.0,11,14,13,3,26.8,34.1,31.7,7.3
020505,Ancash,Bolognesi,Cajacay,100.0,97.1,13,20,2,0,38.0,55.9,6.1,.0,19,13,3,0,53.0,38.0,8.9,.0,10,11,12,1,28.5,32.7,35.4,3.4
020507,Ancash,Bolognesi,Colquioc,100.0,100.0,2,19,16,6,4.9,43.5,36.8,14.7,3,11,13,16,7.1,26.7,29.3,36.8,2,10,24,8,5.0,22.5,54.8,17.7
020508,Ancash,Bolognesi,Huallanca,100.0,98.8,57,59,29,15,35.4,36.7,18.4,9.5,70,56,17,17,43.7,34.8,10.8,10.8,53,38,51,18,33.1,23.6,31.9,11.5
020509,Ancash,Bolognesi,Huasta,100.0,100.0,7,7,3,0,41.2,41.2,17.6,.0,8,8,1,0,47.1,47.1,5.9,.0,3,9,4,1,17.6,52.9,23.5,5.9
020510,Ancash,Bolognesi,Huayllacayan,100.0,100.0,7,10,2,0,36.8,52.6,10.5,.0,12,5,2,0,63.2,26.3,10.5,.0,10,6,2,1,52.6,31.6,10.5,5.3
020512,Ancash,Bolognesi,Mangas,100.0,100.0,3,4,0,1,37.5,50.0,.0,12.5,6,1,0,1,75.0,12.5,.0,12.5,5,2,1,0,57.1,28.6,14.3,.0
020513,Ancash,Bolognesi,Pacllon,100.0,92.6,4,13,8,2,15.9,48.0,28.0,8.0,10,11,5,1,35.9,40.1,19.9,4.1,8,7,9,4,27.9,24.1,32.1,15.9
020515,Ancash,Bolognesi,Ticllos,100.0,100.0,5,3,2,0,50.0,30.0,20.0,.0,5,4,1,0,50.0,40.0,10.0,.0,3,2,3,2,30.0,20.0,30.0,20.0
020601,Ancash,Carhuaz,Carhuaz,100.0,96.9,119,122,61,16,37.3,38.4,19.2,5.1,149,115,42,13,46.7,35.9,13.2,4.2,107,112,77,22,33.7,35.2,24.1,7.0
020602,Ancash,Carhuaz,Acopampa,100.0,100.0,6,13,14,2,17.1,37.1,40.0,5.7,11,19,6,0,30.6,52.8,16.7,.0,4,11,17,4,11.1,30.6,47.2,11.1
020603,Ancash,Carhuaz,Amashca,100.0,100.0,8,5,1,0,57.1,35.7,7.1,.0,9,5,0,0,64.3,35.7,.0,.0,6,7,1,0,42.9,50.0,7.1,.0
020604,Ancash,Carhuaz,Anta,100.0,83.9,9,17,2,2,29.0,56.5,8.1,6.5,17,10,2,1,56.5,33.9,6.5,3.2,10,9,6,5,30.6,30.6,21.0,17.7
020605,Ancash,Carhuaz,Ataquero,100.0,90.6,26,6,0,0,80.3,19.7,.0,.0,26,6,0,0,80.3,19.7,.0,.0,17,11,4,0,54.4,33.1,12.5,.0
020606,Ancash,Carhuaz,Marcara,100.0,95.8,93,59,17,0,55.2,34.8,10.0,.0,103,48,15,2,61.1,28.4,9.2,1.2,86,50,29,3,51.2,29.6,17.3,1.8
020607,Ancash,Carhuaz,Pariahuanca,100.0,80.0,1,1,2,0,25.0,25.0,50.0,.0,1,0,2,1,25.0,.0,50.0,25.0,0,1,1,3,.0,25.0,25.0,50.0
020608,Ancash,Carhuaz,San Miguel de Aco,100.0,95.1,22,32,5,2,36.5,52.0,8.2,3.3,32,17,7,5,52.0,28.3,11.5,8.2,22,20,17,2,35.7,32.8,28.3,3.3
020609,Ancash,Carhuaz,Shilla,100.0,100.0,8,21,8,0,21.6,56.8,21.6,.0,5,20,10,2,13.5,54.1,27.0,5.4,7,19,11,0,18.9,51.4,29.7,.0
020610,Ancash,Carhuaz,Tinco,100.0,97.3,12,14,9,1,33.2,39.2,24.7,2.8,14,11,8,3,38.9,30.7,22.0,8.4,12,13,10,1,33.1,36.4,27.7,2.8
020611,Ancash,Carhuaz,Yungar,100.0,98.4,24,27,11,0,38.6,43.6,17.8,.0,31,25,5,1,49.9,40.4,8.1,1.6,24,16,17,6,37.5,26.1,26.4,10.0
020701,Ancash,Carlos Fermin Fitzcarrald,San Luis,100.0,99.5,97,96,23,6,43.5,43.4,10.4,2.7,117,71,23,11,52.6,32.0,10.4,5.0,88,75,51,7,39.8,33.9,23.1,3.2
